N;Sum;Place;C;S;R;PD;J
;;;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K;A B C D E F G H I J K
29;44;1;XXXX-XXXX-X;XXXX-XXXX--;XX-XXXXXX-X;XXXXXXXXX-X;XX-XXXXXX--
72;43;2;XX-XXXX-XXX;XX-XXXX-XXX;XX-XXXX-XXX;XX-XXXX-XXX;XX-X-XX--XX
37;42;3;X-XX-XX-X-X;XXXXXXX-X-X;X-XXXXXXX-X;X-X-XXXXX-X;XXXX-XXXX-X
13;36;4;X-XXXXX--XX;XXX-X-X--XX;X---X-X--XX;X--XXXX--X-;XXXXXXX-XXX
43;30;5;--XX--XX-XX;--X---X-XXX;-XXX-X-X-X-;--XXX-XXXX-;--XXX-XX-X-
10;25;6 - 7;X--XX----X-;X-XXX----X-;---XXX---XX;-XXX---XXXX;---X----XXX
79;25;6 - 7;-X--XXXXX-X;--X--XXX--X;--X--------;XXX--X-X--X;--X-XXXX--X
103;22;8;-X--XX-XX--;---XXX-XX--;-X--XX--X--;----XX-----;-X--XX-XX-X
61;16;9 - 11;-------X-X-;---XX--X-XX;--X---XX-XX;------XX--X;-------X---
65;16;9 - 11;--X------X-;-------X-X-;XXXX---X-X-;---X-----X-;X-X-X----X-
123;16;9 - 11;XX-----X---;XX---------;XXX---X-X--;XX-------X-;XX-------X-
126;15;12;-XX-X---X--;-X---X-XX--;-------XX--;-XX-----X--;--X-----X--
