N;Place;Participant
72;1;Tang Yiming / Huang Xinyi
29;2;Yongkun Long Marco / Jiani Cheng Victoria
37;3;BARRA COSIMO / SHARIPOVA DIANA
79;4;MAGNANTE LORENZO / FABI BEATRICE
13;5;Zhang Aimadi / Jia Haoyue
43;6;Pidhoretskyy Vadym / Castro Ruby
10;7;Leontiev Valeriu / Smed Line
103;8;Gunnarsson Petur / Oddr Polina
61;9 - 11;Parik Vilem / Sigutova Jana
65;9 - 11;GONG Chaoqun / ZHUO Lianwei
123;9 - 11;Chengyu Ge / Yuke Li
126;12;YI FAN JOHNNY / XINRU MINA
28;13 - 14;Elfimov Maksim / Churikova Evgeniia
88;13 - 14;Manni Alessio / Kuznetsova Lyubina
102;15;PAVINSKII NIKITA / KOROTKOVA POLINA
84;16 - 17;Swiatkowski Piotr / Tracz Oliwia
117;16 - 17;Sahaifa Koupon / Shved Iryna
19;18 - 21;Martsynyuk Oleksandr / Melin Nikolina
32;18 - 21;Agvanyan Sergey / Mazhova Daria
59;18 - 21;Virenius Robert / Hedman Veera
75;18 - 21;KASHIRKINA ILYA / TSYPLIAKOVA KRISTINA
64;22 - 23;Serena Angelo / Melnik Liudmyla
124;22 - 23;Raczek Hubert / Mliczek Dominika
54;24;Sangavicius Joris / Prylowski Natalia
132;25;Civico Pallas Aleix / Orriols Varela Sara
48;26;Medvedovsky Daniel / Pasternak Yael
85;27 - 28;HUANG YIHANG / XU SHIQI
121;27 - 28;Garau Andrea / Scintu Silvia
36;29 - 32;CHENG Bob / HUANG Huihui
70;29 - 32;SANTARELLI SAMUEL / KRACHUN JULIA
95;29 - 32;Cungi Matteo / Corcione Ambra
111;29 - 32;Jiang Fuhao / Su Yijun
115;33 - 34;Szymczak Kamil / Pszczoіa Natalia
128;33 - 34;Maslowski Mieszko / Brunetti Elisa
41;35 - 36;Madajun Mart / Dingyumeng Carolina
116;35 - 36;Baccanale Kevin / Palishchuk Darya
44;37 - 39;LIU Xingyu / LI Chengcheng
50;37 - 39;Zhenghui Zhu Harlan / Ruiping Xu Luna
68;37 - 39;Hewson Montel / Bromwich Jillian
112;40;Keep Harrison / Dulam Isabella
18;41 - 43;Rutka Kacper / Faber Agata
22;41 - 43;gutner kleiman tim / Scarfato Giusy
52;41 - 43;Sakhanenko Ivan / Moroz Yana-Sofiia
66;44 - 45;Zhao Hui / Lin Shiyun
109;44 - 45;Morrissey Darren / Helena
8;46 - 47;YU JUNJIE / BAI YAWEN
9;46 - 47;Grassi Stefano / Mlynarczyk Weronika
97;48 - 49;Lorek Bartosz / Litorowicz Sara
110;48 - 49;Hyrycz Elliot / Samonas Katerina
